GENESIS-Tabelle: 61511-111r
Bauland: Gemeinden, Veräußerungsfälle, veräußerte Fläche,;;;;;;;;;;;;;;;;;
Kaufpreis, durchschnittliche Kaufwerte (EUR/qm),;;;;;;;;;;;;;;;;;
Baulandarten, Jahr (ab 2010);;;;;;;;;;;;;;;;;
Statistik der Kaufwerte für Bauland;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;
;;Veräußerungsfälle;;Veräußerungsfälle;;Veräußerte Fläche;;Veräußerte Fläche;;Verkaufspreis;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;
;;Anzahl;;Anzahl;;1000 qm;;1000 qm;;Tsd. EUR;;Tsd. EUR;;EUR/qm;;EUR/qm;
09178144;      Nandlstadt, M;4;e;1;e;3;e;1;e;230;e;.;.;75,39;e;.;.
09178145;      Neufahrn b.Freising;15;e;14;e;22;e;21;e;20357;e;.;.;906,51;e;.;.
09178150;      Paunzhausen;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09178155;      Wang;13;e;6;e;10;e;3;e;1240;e;862;e;120,85;e;254,30;e
09178156;      Wolfersdorf;5;e;1;e;2;e;1;e;102;e;.;.;42,46;e;.;.
09178157;      Zolling;3;e;3;e;2;e;2;e;718;e;718;e;326,71;e;326,71;e
09179;    Fürstenfeldbruck (Lkr);212;e;197;e;208;e;181;e;142485;e;134227;e;685,47;e;743,63;e
09179111;      Adelshofen;16;e;16;e;10;e;10;e;4051;e;4051;e;418,55;e;418,55;e
09179113;      Alling;2;e;1;e;2;e;1;e;.;.;.;.;.;.;.;.
09179114;      Althegnenberg;8;e;8;e;5;e;5;e;2129;e;2129;e;447,27;e;447,27;e
09179117;      Egenhofen;4;e;3;e;7;e;5;e;1135;e;.;.;171,68;e;.;.
09179118;      Eichenau;15;e;14;e;9;e;9;e;10205;e;.;.;1145,73;e;.;.
09179119;      Emmering;11;e;7;e;11;e;5;e;5543;e;4386;e;499,21;e;843,79;e
09179121;      Fürstenfeldbruck, GKSt;26;e;24;e;25;e;18;e;23397;e;.;.;928,36;e;.;.
09179123;      Germering, GKSt;17;e;16;e;17;e;14;e;17768;e;.;.;1043,21;e;.;.
09179125;      Grafrath;6;e;6;e;32;e;32;e;7072;e;7072;e;220,85;e;220,85;e
09179126;      Gröbenzell;23;e;23;e;18;e;18;e;20508;e;20508;e;1111,14;e;1111,14;e
09179128;      Hattenhofen;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09179130;      Jesenwang;3;e;3;e;2;e;2;e;646;e;646;e;333,33;e;333,33;e
09179131;      Kottgeisering;3;e;3;e;3;e;3;e;1896;e;1896;e;704,57;e;704,57;e
09179132;      Landsberied;5;e;5;e;2;e;2;e;1062;e;1062;e;433,17;e;433,17;e
